id,region,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,price
5258,SF bay area,2013,mazda,excellent,4 cylinders,gas,117946,clean,automatic,fwd,compact,sedan,black,ca,8981
5259,rochester,2012,buick,excellent,6 cylinders,gas,93849,clean,automatic,fwd,mid-size,SUV,black,,16036
5260,wilmington,2013,honda,like new,4 cylinders,gas,104033,clean,manual,fwd,compact,sedan,black,de,5167
5261,redding,2011,HONDA,excellent,6 cylinders,gas,104960,clean,automatic,fwd,mid-size,sedan,silver,,8941
5262,albany,2012,chevrolet,good,4 cylinders,gas,114986,salvage,automatic,fwd,full-size,sedan,black,,8392
5263,san diego,2012,BUICK,good,6 cylinders,gas,54035,clean,manual,fwd,full-size,sedan,black,ca,17152
5264,ocala,2016,ram,excellent,6 cylinders,gas,99495,clean,automatic,4wd,full-size,truck,black,fl,49297
5265,hawaii,2010,bmw,new,6 cylinders,gas,60389,clean,automatic,fwd,full-size,sedan,black,hi,18192
5266,yakima,2016,chevrolet,excellent,6 cylinders,gas,16651,clean,automatic,rwd,full-size,pickup,white,wa,33364
5267,"washington, DC",1993,chevrolet,excellent,8 cylinders,diesel,106951,clean,automatic,4wd,full-size,pickup,black,dc,21689
5268,wichita,2015,honda,excellent,4 cylinders,gas,213270,clean,automatic,fwd,compact,sedan,black,,4135
5269,reno / tahoe,2004,ｊｅｅｐ,like new,4 cylinders,gas,168105,clean,automatic,4wd,mid-size,SUV,black,ca,21833
5270,denver,2019,chevrolet,like new,8 cylinders,gas,102658,clean,automatic,fwd,mid-size,SUV,black,co,8270
5271,new york city,2016,toyota,excellent,4 cylinders,gas,48531,clean,automatic,4wd,full-size,SUV,black,ny,16677
5272,duluth / superior,2017,subaru,excellent,4 cylinders,gas,128535,clean,automatic,4wd,compact,wagon,black,mn,6679
5273,"st louis, MO",2014,bmw,excellent,6 cylinders,gas,81283,rebuilt,other,rwd,mid-size,coupe,red,mo,39251
5274,odessa / midland,2003,JEEP,excellent,6 cylinders,gas,181638,rebuilt,automatic,4wd,full-size,SUV,black,tx,9842
5275,albany,2017,cadillac,good,8 cylinders,gas,85645,salvage,automatic,4wd,full-size,SUV,blue,ny,12056
5276,augusta,2013,BMW,excellent,6 cylinders,gas,119086,clean,automatic,rwd,compact,sedan,black,ga,5424
5277,reno / tahoe,2018,RAM,excellent,8 cylinders,diesel,37421,clean,automatic,4wd,full-size,truck,blue,,69254
5278,fargo / moorhead,2011,ford,excellent,6 cylinders,gas,79615,clean,automatic,fwd,mid-size,truck,black,,17402
5279,tampa bay area,2006,ford,excellent,4 cylinders,gas,143785,clean,manual,fwd,mid-size,coupe,green,fl,8843
5280,cape cod / islands,2006,bmw,excellent,6 cylinders,gas,109205,clean,automatic,fwd,mid-size,sedan,silver,,4717
5281,orlando,1997,toyota,fair,6 cylinders,gas,143613,clean,manual,fwd,mid-size,SUV,red,fl,4415
5282,winchester,2014,honda,good,4 cylinders,gas,92422,clean,manual,fwd,mid-size,sedan,blue,va,4492
5283,denver,2010,jeep,good,6 cylinders,gas,120262,clean,manual,fwd,mid-size,SUV,white,co,6702
5284,sarasota-bradenton,2015,nissan,excellent,4 cylinders,gas,111792,clean,automatic,fwd,mid-size,sedan,silver,fl,9154
5285,omaha / council bluffs,2012,ford,good,4 cylinders,gas,80259,clean,automatic,fwd,compact,sedan,black,ia,7646
5286,rhode island,2000,ford,like new,8 cylinders,gas,180969,clean,automatic,fwd,full-size,SUV,white,ri,4170
5287,harrisonburg,2016,chevrolet,good,8 cylinders,gas,61202,lien,automatic,rwd,full-size,truck,white,va,23475
5288,atlanta,2011,honda,excellent,4 cylinders,gas,61503,clean,automatic,fwd,compact,sedan,blue,ga,9858
5289,northwest CT,2015,FORD,good,8 cylinders,gas,13744,clean,automatic,rwd,full-size,truck,white,ct,36282
5290,reno / tahoe,2012,mercury,excellent,4 cylinders,gas,208628,clean,automatic,fwd,full-size,sedan,blue,ca,3843
5291,cape cod / islands,1966,ford,good,8 cylinders,,34,clean,automatic,rwd,full-size,sedan,white,ma,6097
5292,"washington, DC",2007,FORD,excellent,6 cylinders,gas,145013,clean,automatic,fwd,mid-size,sedan,black,dc,15193
5293,st george,2000,ford,good,6 cylinders,gas,126427,clean,manual,fwd,mid-size,SUV,blue,ut,5228
5294,greenville / upstate,2013,SUBARU,like new,6 cylinders,gas,215947,clean,manual,4wd,mid-size,SUV,grey,,21862
5295,charlotte,2011,CHEVROLET,like new,4 cylinders,gas,92918,clean,automatic,fwd,full-size,truck,white,nc,19159
5296,little rock,1999,FORD,excellent,4 cylinders,gas,135330,clean,automatic,fwd,mid-size,SUV,red,ar,7200
5297,philadelphia,2011,hyundai,like new,4 cylinders,gas,97278,clean,automatic,fwd,full-size,sedan,black,pa,7713
5298,boston,1956,ford,good,6 cylinders,diesel,76937,clean,automatic,rwd,full-size,pickup,silver,,8231
5299,sacramento,2013,chevrolet,excellent,4 cylinders,gas,65427,salvage,automatic,fwd,mid-size,sedan,black,ca,2492
5300,imperial county,2013,toyota,excellent,4 cylinders,gas,117802,clean,automatic,fwd,mid-size,sedan,green,ca,5654
5301,grand forks,2001,chevrolet,excellent,8 cylinders,gas,68706,clean,automatic,4wd,full-size,truck,grey,nd,24692
5302,fargo / moorhead,2017,RAM,excellent,8 cylinders,diesel,127413,clean,manual,4wd,full-size,pickup,silver,,45635
5303,ventura county,2017,kia,good,4 cylinders,gas,123642,clean,manual,fwd,compact,sedan,silver,,6381
5304,mobile,2010,ford,excellent,6 cylinders,gas,170840,clean,automatic,4wd,full-size,truck,silver,,3534
5305,killeen / temple / ft hood,2005,volkswagen,like new,4 cylinders,gas,194772,clean,automatic,fwd,mid-size,SUV,silver,tx,4405
5306,south jersey,2005,buick,good,6 cylinders,gas,118639,clean,automatic,fwd,full-size,SUV,black,nj,7169
5307,eastern CT,2004,LINCOLN,fair,8 cylinders,gas,94116,clean,manual,fwd,mid-size,sedan,silver,ct,2168
5308,syracuse,2011,volkswagen,excellent,4 cylinders,gas,104315,salvage,automatic,fwd,compact,sedan,black,,6372
5309,orlando,2001,mazda,excellent,4 cylinders,gas,122464,clean,automatic,fwd,compact,hatchback,white,fl,23141
5310,pittsburgh,2011,ford,excellent,4 cylinders,gas,20349,clean,automatic,fwd,mid-size,sedan,black,pa,4782
5311,pueblo,1973,chevrolet,excellent,8 cylinders,gas,63000,clean,manual,rwd,full-size,truck,green,co,6506
5312,inland empire,2013,chevrolet,excellent,8 cylinders,gas,31256,clean,automatic,fwd,full-size,truck,white,ca,6721
5313,gold country,2011,dodge,excellent,8 cylinders,gas,1098,clean,automatic,rwd,full-size,SUV,white,ca,31382
5314,plattsburgh-adirondacks,1982,ford,fair,8 cylinders,gas,260244,missing,automatic,rwd,full-size,pickup,brown,ny,2254
5315,des moines,2017,nissan,good,4 cylinders,gas,30486,clean,manual,fwd,mid-size,sedan,black,ia,12895
5316,new orleans,2002,ford,excellent,8 cylinders,gas,174076,clean,manual,4wd,full-size,pickup,green,la,5198
5317,grand rapids,2016,ram,excellent,8 cylinders,diesel,130992,clean,automatic,4wd,full-size,truck,blue,,40422
5318,el paso,2016,bmw,excellent,8 cylinders,gas,44943,clean,automatic,rwd,full-size,truck,black,,43041
5319,monterey bay,2004,ford,fair,6 cylinders,gas,163719,clean,automatic,fwd,full-size,mini-van,black,ca,2571
5320,yuma,2007,ford,good,8 cylinders,gas,202152,clean,manual,fwd,full-size,convertible,green,,4440
5321,salem,2017,jeep,like new,6 cylinders,gas,144798,rebuilt,automatic,4wd,mid-size,SUV,black,or,16984
5322,santa barbara,2013,honda,like new,4 cylinders,gas,165323,rebuilt,manual,fwd,mid-size,sedan,silver,ca,2091
5323,palm springs,1996,bmw,excellent,6 cylinders,gas,88059,clean,manual,rwd,mid-size,coupe,orange,ca,13107
5324,hawaii,1982,ford,good,8 cylinders,diesel,170782,clean,manual,4wd,full-size,truck,black,hi,8234
5325,baltimore,2006,buick,excellent,6 cylinders,gas,130078,clean,automatic,fwd,mid-size,mini-van,blue,md,4459
5326,madison,2013,ram,like new,8 cylinders,gas,39639,clean,automatic,4wd,full-size,SUV,grey,,35352
5327,inland empire,2005,dodge,excellent,6 cylinders,gas,178520,clean,manual,4wd,full-size,pickup,custom,ca,15588
5328,san diego,2018,chevrolet,excellent,4 cylinders,gas,109070,clean,automatic,fwd,mid-size,sedan,white,ca,22427
5329,bozeman,2012,chrysler,excellent,4 cylinders,gas,117523,clean,manual,fwd,mid-size,sedan,white,mt,9315
5330,rockford,2011,ford,good,4 cylinders,gas,176744,clean,automatic,4wd,full-size,truck,black,il,9364
5331,iowa city,1970,ford,fair,8 cylinders,diesel,29745,clean,automatic,4wd,full-size,pickup,green,,10413
5332,knoxville,2011,ram,excellent,6 cylinders,diesel,64210,clean,automatic,rwd,full-size,truck,white,tn,19112
5333,central NJ,1992,ford,excellent,6 cylinders,diesel,96983,clean,automatic,4wd,full-size,truck,white,nj,17907
5334,wichita,2014,nissan,like new,4 cylinders,gas,84490,clean,automatic,fwd,compact,sedan,grey,ks,20943
5335,boise,2012,buick,excellent,4 cylinders,gas,126654,clean,automatic,fwd,mid-size,SUV,blue,id,9718
5336,rochester,1988,chrysler,fair,6 cylinders,gas,91492,clean,manual,fwd,mid-size,sedan,orange,ny,4477
5337,wichita,2011,mazda,good,4 cylinders,,89325,clean,other,fwd,compact,sedan,black,ks,7510
5338,pittsburgh,1997,ford,like new,6 cylinders,gas,99638,clean,manual,4wd,full-size,offroad,green,pa,5461
5339,reading,2007,ford,good,6 cylinders,gas,164398,clean,automatic,fwd,full-size,SUV,black,pa,8895
5340,fargo / moorhead,2010,jeep,excellent,6 cylinders,gas,158558,clean,automatic,4wd,mid-size,SUV,black,mn,25755
5341,lansing,2014,hyundai,like new,4 cylinders,gas,101185,clean,manual,fwd,compact,sedan,red,mi,6773
5342,bakersfield,2013,chevrolet,good,4 cylinders,gas,41502,clean,automatic,fwd,sub-compact,coupe,black,ca,8277
5343,bend,2011,chevrolet,good,6 cylinders,gas,133928,clean,automatic,fwd,full-size,van,silver,or,25324
5344,jacksonville,2017,toyota,like new,6 cylinders,gas,3767,salvage,automatic,rwd,full-size,mini-van,blue,fl,20082
5345,madison,2007,chevrolet,good,8 cylinders,gas,44924,clean,automatic,rwd,full-size,truck,white,wi,17325
5346,detroit metro,2015,ford,excellent,8 cylinders,gas,95452,clean,automatic,4wd,full-size,truck,silver,mi,22150
5347,eastern NC,2007,mercedes-benz,excellent,6 cylinders,gas,195444,salvage,automatic,fwd,mid-size,sedan,silver,,18983
5348,columbus,2005,ford,like new,6 cylinders,gas,108411,clean,automatic,fwd,mid-size,sedan,grey,oh,11185
5349,monterey bay,2004,toyota,excellent,6 cylinders,gas,97225,clean,automatic,fwd,full-size,sedan,black,ca,6137
5350,tampa bay area,2009,ford,excellent,6 cylinders,gas,164932,clean,automatic,rwd,mid-size,SUV,grey,fl,9156
5351,"washington, DC",2011,bmw,excellent,8 cylinders,gas,62669,rebuilt,automatic,fwd,mid-size,sedan,blue,dc,23929
5352,dayton / springfield,2015,ford,excellent,8 cylinders,gas,41279,clean,automatic,rwd,mid-size,SUV,blue,oh,8664
5353,mcallen / edinburg,2012,toyota,like new,4 cylinders,gas,210874,clean,other,fwd,mid-size,SUV,blue,tx,2976
5354,hawaii,2014,NISSAN,good,4 cylinders,gas,158139,rebuilt,manual,fwd,compact,sedan,red,hi,4021
5355,tulsa,2001,ford,excellent,8 cylinders,diesel,115154,clean,manual,4wd,full-size,truck,white,,59191
5356,rochester,2012,jeep,excellent,6 cylinders,gas,95110,clean,automatic,fwd,mid-size,SUV,black,ny,14678
5357,fresno / madera,2009,HONDA,fair,6 cylinders,gas,158795,clean,other,fwd,full-size,sedan,brown,ca,5309
5358,san antonio,2012,bmw,excellent,6 cylinders,gas,93289,clean,other,rwd,mid-size,coupe,white,tx,18617
5359,northern panhandle,2015,ford,like new,6 cylinders,gas,79719,clean,automatic,4wd,full-size,offroad,white,,14823
5360,"st louis, MO",2006,honda,good,6 cylinders,gas,161392,clean,automatic,fwd,full-size,SUV,silver,mo,7222
5361,tulsa,2004,lincoln,excellent,6 cylinders,gas,308132,rebuilt,automatic,rwd,full-size,sedan,white,ok,4116
5362,portland,2006,ford,excellent,4 cylinders,gas,162896,clean,automatic,fwd,compact,sedan,silver,or,5266
5363,austin,1969,bmw,fair,8 cylinders,gas,119368,clean,manual,rwd,compact,coupe,green,tx,1126
5364,maine,1990,ford,fair,8 cylinders,diesel,7540,clean,manual,4wd,full-size,truck,black,me,28370
5365,boise,2014,ford,excellent,8 cylinders,diesel,154851,clean,manual,4wd,full-size,SUV,black,id,8691
5366,columbia / jeff city,2010,toyota,good,4 cylinders,gas,155220,rebuilt,automatic,fwd,mid-size,hatchback,black,mo,7325
5367,billings,2011,ford,excellent,8 cylinders,gas,104901,clean,automatic,4wd,mid-size,SUV,black,mt,15033
5368,northwest CT,2010,TOYOTA,excellent,6 cylinders,gas,316770,clean,automatic,4wd,full-size,pickup,grey,ct,7664
5369,billings,2015,audi,excellent,4 cylinders,gas,123965,rebuilt,manual,4wd,mid-size,wagon,blue,mt,25295
5370,daytona beach,2013,ford,excellent,8 cylinders,gas,188835,clean,automatic,fwd,full-size,truck,silver,fl,9140
5371,san luis obispo,2011,buick,excellent,6 cylinders,gas,124970,clean,automatic,fwd,mid-size,sedan,black,ca,24389
5372,rhode island,2013,toyota,excellent,4 cylinders,gas,147554,clean,automatic,fwd,mid-size,SUV,black,ri,5026
5373,anchorage / mat-su,2017,ford,excellent,6 cylinders,gas,67861,clean,automatic,fwd,mid-size,SUV,white,ak,22997
5374,salem,1982,ford,excellent,6 cylinders,gas,142366,clean,automatic,4wd,mid-size,truck,white,or,5858
5375,fayetteville,2007,ram,excellent,6 cylinders,gas,94210,clean,manual,rwd,mid-size,pickup,green,nc,9553
5376,rochester,1988,ford,fair,6 cylinders,gas,211813,clean,automatic,4wd,full-size,offroad,green,ny,7927
5377,siskiyou county,2001,mitsubishi,good,4 cylinders,gas,221749,clean,manual,fwd,compact,sedan,green,ca,1283
5378,northern michigan,2014,ford,good,8 cylinders,gas,38981,clean,manual,4wd,full-size,truck,black,mi,34401
5379,duluth / superior,2011,jeep,excellent,6 cylinders,gas,91074,clean,automatic,4wd,mid-size,SUV,blue,mn,22942
5380,palm springs,2013,chevrolet,good,4 cylinders,gas,122778,clean,automatic,fwd,mid-size,sedan,blue,ca,8708
5381,vermont,2013,ford,excellent,4 cylinders,,104369,clean,automatic,4wd,full-size,sedan,black,vt,17808
5382,fayetteville,2008,volkswagen,excellent,4 cylinders,gas,132211,clean,automatic,fwd,compact,sedan,black,nc,5533
5383,south jersey,2009,ford,excellent,8 cylinders,gas,150700,clean,manual,fwd,mid-size,sedan,white,nj,12087
5384,humboldt county,2008,lexus,good,4 cylinders,gas,201474,clean,automatic,fwd,full-size,sedan,grey,,2232
5385,erie,2017,ford,excellent,6 cylinders,diesel,29971,clean,automatic,4wd,full-size,truck,black,pa,74384
5386,reno / tahoe,2013,bmw,excellent,8 cylinders,gas,79403,clean,automatic,fwd,mid-size,sedan,black,ca,13221
5387,saginaw-midland-baycity,2013,honda,like new,4 cylinders,gas,178454,clean,automatic,fwd,mid-size,sedan,black,mi,2946
5388,albany,2018,chevrolet,good,4 cylinders,gas,61796,clean,automatic,rwd,full-size,truck,black,ny,68270
5389,south coast,1994,pontiac,fair,6 cylinders,gas,192026,clean,manual,fwd,compact,coupe,blue,ma,5468
5390,modesto,2005,volkswagen,excellent,6 cylinders,gas,118746,clean,automatic,fwd,full-size,sedan,white,ca,6168
5391,san antonio,2010,bmw,excellent,6 cylinders,gas,96842,clean,automatic,rwd,full-size,sedan,silver,tx,14929
5392,appleton-oshkosh-FDL,2014,volkswagen,like new,4 cylinders,gas,10650,lien,manual,fwd,mid-size,sedan,black,wi,5023
5393,fresno / madera,2007,ram,excellent,6 cylinders,diesel,159015,rebuilt,manual,4wd,full-size,truck,black,ca,20572
5394,pittsburgh,2008,HONDA,excellent,4 cylinders,gas,108425,clean,automatic,fwd,mid-size,sedan,blue,pa,6702
5395,modesto,2015,audi,good,6 cylinders,gas,172108,clean,automatic,fwd,full-size,SUV,black,,5189
5396,dallas / fort worth,2013,chevrolet,excellent,4 cylinders,gas,74549,clean,automatic,fwd,full-size,pickup,white,tx,4637
5397,milwaukee,2013,nissan,excellent,4 cylinders,gas,118768,rebuilt,automatic,fwd,compact,sedan,blue,wi,4080
5398,wilmington,2006,chevrolet,good,8 cylinders,gas,129087,clean,automatic,4wd,full-size,pickup,silver,de,6992
5399,richmond,2005,ram,good,6 cylinders,diesel,143208,lien,automatic,rwd,full-size,truck,white,va,4462
5400,vermont,2003,chevrolet,good,4 cylinders,gas,116604,clean,manual,4wd,full-size,SUV,black,,18073
5401,philadelphia,2012,chevrolet,like new,6 cylinders,gas,97564,clean,automatic,rwd,mid-size,sedan,grey,pa,15903
5402,south coast,2011,ｆｏｒｄ,good,4 cylinders,gas,94024,clean,automatic,4wd,mid-size,pickup,green,ma,32042
5403,worcester / central MA,2014,jeep,good,6 cylinders,gas,131586,clean,automatic,fwd,mid-size,SUV,white,ma,8549
5404,central NJ,2014,honda,fair,4 cylinders,gas,171105,clean,manual,fwd,compact,sedan,brown,nj,3080
5405,nashville,2012,BUICK,good,4 cylinders,gas,129968,clean,automatic,fwd,mid-size,SUV,black,,8590
5406,jacksonville,2018,ｂｍｗ,like new,6 cylinders,gas,81859,clean,automatic,4wd,mid-size,sedan,black,fl,30035
5407,rochester,2015,ram,like new,6 cylinders,diesel,14738,clean,automatic,4wd,full-size,truck,black,,36328
5408,minneapolis / st paul,1999,HONDA,good,8 cylinders,gas,216060,clean,manual,4wd,mid-size,truck,silver,mn,1525
5409,cedar rapids,2016,chevrolet,like new,6 cylinders,diesel,17126,rebuilt,automatic,4wd,full-size,SUV,black,ia,37486
5410,syracuse,2014,chevrolet,excellent,4 cylinders,gas,60212,clean,automatic,fwd,full-size,sedan,black,ny,6679
5411,san antonio,2009,jeep,fair,6 cylinders,gas,138204,clean,automatic,fwd,compact,SUV,red,tx,7636
5412,san antonio,2014,ford,excellent,4 cylinders,gas,69838,clean,automatic,4wd,full-size,sedan,black,tx,22667
5413,hawaii,2011,ford,excellent,4 cylinders,gas,80806,clean,automatic,fwd,compact,sedan,blue,hi,15911
5414,daytona beach,1963,CHEVROLET,fair,8 cylinders,diesel,129048,clean,automatic,rwd,full-size,pickup,silver,fl,4860
5415,denver,2007,toyota,excellent,4 cylinders,gas,173501,clean,automatic,4wd,mid-size,truck,red,co,8157
5416,boston,1988,ford,good,8 cylinders,gas,136861,rebuilt,manual,rwd,full-size,coupe,black,ma,6630
5417,denver,2001,lincoln,fair,6 cylinders,gas,170512,clean,automatic,fwd,mid-size,sedan,silver,co,4856
5418,treasure coast,1999,bmw,excellent,6 cylinders,gas,158830,clean,automatic,4wd,full-size,SUV,silver,fl,10714
5419,medford-ashland,2015,ram,good,8 cylinders,diesel,157226,clean,manual,rwd,full-size,truck,white,or,76066
5420,buffalo,2002,ford,excellent,6 cylinders,gas,92342,clean,automatic,rwd,mid-size,coupe,black,ny,12810
5421,las vegas,2010,bmw,excellent,6 cylinders,gas,88537,clean,automatic,rwd,mid-size,convertible,white,nv,24538
5422,central NJ,2013,volkswagen,excellent,4 cylinders,gas,165912,clean,automatic,fwd,mid-size,sedan,silver,nj,6890
5423,new hampshire,2012,toyota,fair,4 cylinders,gas,233420,clean,manual,fwd,full-size,sedan,silver,nh,5528
5424,atlanta,2015,chevrolet,excellent,4 cylinders,gas,3715,clean,automatic,fwd,full-size,other,red,ga,15794
5425,chicago,2015,mazda,excellent,6 cylinders,gas,144341,clean,automatic,4wd,mid-size,SUV,black,,8047
5426,rhode island,2012,mazda,excellent,4 cylinders,gas,123311,clean,manual,fwd,mid-size,sedan,green,ri,6335
5427,rhode island,2013,ford,good,4 cylinders,gas,86319,clean,automatic,fwd,full-size,SUV,white,,14941
5428,los angeles,2012,bmw,like new,6 cylinders,gas,123800,clean,automatic,rwd,mid-size,sedan,black,ca,23226
5429,cape cod / islands,2016,ford,excellent,8 cylinders,gas,86615,clean,automatic,4wd,full-size,SUV,white,ma,53203
5430,hawaii,1990,honda,excellent,4 cylinders,gas,108488,clean,automatic,fwd,full-size,hatchback,blue,hi,8679
5431,baltimore,2005,ford,excellent,6 cylinders,gas,114074,clean,automatic,fwd,mid-size,SUV,blue,md,2978
5432,"st louis, MO",2010,chevrolet,excellent,4 cylinders,gas,122548,clean,automatic,fwd,mid-size,sedan,black,mo,12627
5433,rockford,2007,chevrolet,excellent,6 cylinders,gas,311593,clean,automatic,4wd,full-size,SUV,blue,il,8015
5434,pullman / moscow,2015,ford,excellent,4 cylinders,gas,21999,rebuilt,manual,fwd,mid-size,hatchback,black,wa,21660
5435,orlando,2010,ford,excellent,6 cylinders,gas,87491,clean,automatic,fwd,full-size,sedan,black,fl,14727
5436,los angeles,2014,honda,good,4 cylinders,gas,155877,rebuilt,other,fwd,compact,hatchback,blue,ca,10846
5437,greenville / upstate,2017,ram,excellent,8 cylinders,diesel,114367,clean,automatic,4wd,full-size,truck,black,sc,27032
5438,baltimore,2007,lexus,excellent,6 cylinders,gas,172358,clean,automatic,fwd,full-size,SUV,black,md,4096
5439,sacramento,2018,honda,good,4 cylinders,gas,49451,clean,automatic,fwd,compact,sedan,silver,,3697
5440,"washington, DC",2005,ram,good,6 cylinders,diesel,235847,clean,automatic,4wd,full-size,truck,silver,dc,8023
5441,college station,1985,bmw,fair,6 cylinders,gas,110834,clean,manual,rwd,mid-size,coupe,green,tx,2137
5442,los angeles,2008,honda,good,4 cylinders,gas,141235,clean,automatic,fwd,mid-size,sedan,silver,ca,5156
5443,"washington, DC",2015,honda,good,4 cylinders,gas,84464,clean,automatic,fwd,compact,sedan,blue,dc,8198
5444,green bay,2011,ram,like new,8 cylinders,diesel,115658,clean,manual,4wd,full-size,truck,black,wi,13987
5445,hartford,1995,bmw,excellent,6 cylinders,gas,98270,clean,other,4wd,mid-size,SUV,black,ct,16821
5446,medford-ashland,1994,gmc,good,8 cylinders,diesel,45884,clean,manual,rwd,full-size,truck,blue,or,18521
5447,chattanooga,2015,kia,excellent,4 cylinders,gas,117101,,automatic,fwd,mid-size,,black,tn,12346
5448,tulsa,2013,bmw,excellent,4 cylinders,gas,110563,clean,other,rwd,mid-size,coupe,black,ok,8091
5449,atlanta,2008,nissan,good,4 cylinders,gas,158222,clean,automatic,fwd,mid-size,sedan,silver,ga,6417
5450,central NJ,2004,ford,good,6 cylinders,gas,108112,,automatic,fwd,full-size,,custom,nj,13966
5451,fresno / madera,2012,VOLKSWAGEN,excellent,4 cylinders,gas,128704,clean,manual,fwd,mid-size,SUV,white,ca,17980
5452,central NJ,2010,FORD,excellent,6 cylinders,gas,147943,clean,manual,4wd,mid-size,pickup,silver,nj,9933
5453,eastern CT,2012,bmw,excellent,6 cylinders,gas,74915,clean,automatic,rwd,full-size,SUV,black,ct,21902
5454,central NJ,1998,ford,good,8 cylinders,gas,145225,missing,manual,4wd,mid-size,SUV,blue,nj,25247
5455,denver,2019,nissan,good,4 cylinders,gas,54244,,automatic,fwd,mid-size,,blue,co,39442
5456,chicago,2012,bmw,excellent,6 cylinders,gas,136373,rebuilt,automatic,fwd,mid-size,SUV,blue,il,19448
5457,northern panhandle,1997,ford,good,8 cylinders,gas,193608,clean,automatic,rwd,mid-size,SUV,blue,wv,3882
5458,cleveland,2009,BMW,excellent,6 cylinders,,58513,clean,automatic,fwd,mid-size,sedan,black,oh,21744
5459,cincinnati,2000,ford,good,6 cylinders,gas,193612,clean,automatic,fwd,full-size,truck,white,oh,3411
5460,norfolk / hampton roads,1993,ford,good,8 cylinders,gas,157875,clean,automatic,4wd,full-size,truck,silver,va,5049
5461,denver,2018,CHRYSLER,excellent,4 cylinders,gas,137628,clean,automatic,fwd,mid-size,SUV,black,co,9603
5462,hickory / lenoir,1999,ram,good,6 cylinders,gas,159854,clean,automatic,4wd,full-size,truck,green,nc,15489
5463,el paso,1996,ford,excellent,6 cylinders,gas,136218,clean,automatic,fwd,mid-size,SUV,white,tx,11481
5464,san antonio,2013,CHEVROLET,excellent,4 cylinders,gas,79266,clean,automatic,fwd,full-size,coupe,black,tx,33479
5465,duluth / superior,2013,chrysler,excellent,4 cylinders,gas,125628,clean,automatic,fwd,mid-size,sedan,blue,mn,20887
5466,albany,2014,HONDA,excellent,4 cylinders,gas,98306,clean,automatic,fwd,compact,hatchback,grey,ny,7054
5467,roswell / carlsbad,1991,ford,good,8 cylinders,gas,85290,clean,automatic,rwd,full-size,coupe,black,nm,2856
5468,los angeles,2014,volkswagen,excellent,4 cylinders,gas,88629,rebuilt,other,fwd,compact,sedan,white,ca,8069
5469,minneapolis / st paul,1984,ram,excellent,6 cylinders,gas,89180,clean,automatic,4wd,full-size,truck,blue,mn,35910
5470,colorado springs,2011,CHEVROLET,good,8 cylinders,gas,110528,clean,automatic,fwd,full-size,truck,white,co,6890
5471,new haven,2017,VOLKSWAGEN,excellent,4 cylinders,gas,153196,clean,automatic,fwd,mid-size,SUV,black,ct,11948
5472,lakeland,2014,mercedes-benz,excellent,4 cylinders,gas,157852,rebuilt,automatic,fwd,mid-size,sedan,silver,fl,12634
5473,buffalo,2005,bmw,excellent,6 cylinders,gas,108631,rebuilt,manual,4wd,mid-size,SUV,silver,ny,10199
5474,inland empire,1990,chevrolet,good,8 cylinders,,116935,clean,automatic,fwd,full-size,sedan,black,ca,9560
5475,myrtle beach,2010,volkswagen,excellent,4 cylinders,gas,80006,clean,manual,fwd,compact,sedan,red,sc,5065
5476,los angeles,2012,ford,excellent,4 cylinders,gas,47603,clean,automatic,fwd,mid-size,SUV,black,ca,6239
5477,south jersey,2010,JEEP,fair,6 cylinders,,192694,clean,manual,fwd,mid-size,SUV,green,nj,1817
5478,rhode island,1987,bmw,excellent,6 cylinders,gas,94545,clean,automatic,rwd,full-size,sedan,black,ri,20353
5479,humboldt county,2013,jeep,excellent,6 cylinders,gas,123081,clean,automatic,4wd,mid-size,SUV,red,ca,11326
5480,redding,2010,buick,excellent,6 cylinders,,125612,clean,automatic,fwd,mid-size,SUV,black,ca,16902
5481,sacramento,2013,chevrolet,excellent,4 cylinders,gas,68464,rebuilt,automatic,fwd,compact,sedan,red,,5272
5482,saginaw-midland-baycity,2010,honda,excellent,4 cylinders,gas,163999,clean,automatic,fwd,full-size,sedan,black,mi,5656
5483,rhode island,2002,honda,fair,6 cylinders,gas,186779,clean,automatic,fwd,mid-size,SUV,green,ri,3420
5484,hawaii,2017,bmw,excellent,6 cylinders,gas,31281,rebuilt,automatic,4wd,mid-size,SUV,silver,hi,39480
5485,stockton,2010,ford,excellent,4 cylinders,gas,117584,clean,manual,4wd,mid-size,pickup,silver,ca,21684
5486,wichita,2017,subaru,excellent,4 cylinders,gas,97338,clean,automatic,4wd,mid-size,SUV,blue,ks,19995
5487,seattle-tacoma,2003,bmw,excellent,6 cylinders,gas,132834,clean,other,rwd,mid-size,sedan,grey,wa,2834
5488,southwest MN,1983,chevrolet,excellent,6 cylinders,gas,102012,clean,automatic,4wd,full-size,pickup,black,mn,9787
5489,lewiston / clarkston,2012,ford,salvage,8 cylinders,gas,14311,clean,automatic,4wd,full-size,sedan,black,id,6319
5490,tampa bay area,2009,chevrolet,excellent,8 cylinders,gas,74522,salvage,automatic,rwd,full-size,pickup,black,,29615
5491,los angeles,2015,bmw,like new,4 cylinders,gas,84485,rebuilt,automatic,rwd,compact,sedan,black,ca,21418
5492,detroit metro,2016,chevrolet,excellent,8 cylinders,diesel,201928,clean,other,4wd,full-size,truck,black,mi,8950
